"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000103038",0.907699136682974,4.95591967647705,57.6453692502797,3.13901099914153e-14,1.64962746884394e-11
"ENSDARG00000033140",0.927169373239584,5.753193710827,56.9580886296186,4.45199410580486e-14,2.30189637177075e-11
"ENSDARG00000070651",1.01049070243587,5.6291644563929,55.4590292232391,9.54273649024413e-14,4.85573815345645e-11
"ENSDARG00000013721",0.872928141453451,7.22461436622113,54.9944494945873,1.20870686393837e-13,6.05429936519881e-11
"ENSDARG00000117546",0.975379472433326,5.93251207274051,54.3348447318303,1.69076964990048e-13,8.33861579490148e-11
"ENSDARG00000101757",1.84875749490113,3.33566417283105,53.7078815959305,2.32628158353675e-13,1.12990316247633e-10
"ENSDARG00000037421",1.00431407650303,5.30172912300506,53.3096310675501,2.84906284925382e-13,1.36317026505268e-10
"ENSDARG00000108535",-0.954509515014933,4.81327301799921,52.5261993930511,4.2454674227288e-13,2.00142572309437e-10
"ENSDARG00000100612",2.6098041871163,0.747724493587585,51.6196929622288,6.73625043341004e-13,3.12962290063515e-10
"ENSDARG00000078550",-1.12801512854446,2.62803434395434,51.3411654801987,7.76305737192871e-13,3.55514757388455e-10
"ENSDARG00000092719",1.78648337626824,3.41717955889425,50.7307840399331,1.05944761188587e-12,4.78348057665146e-10
"ENSDARG00000045262",-0.912817588755743,5.60822440505191,50.5376636716062,1.16899691744072e-12,5.20479641422182e-10
"ENSDARG00000054160",3.14296246381243,1.97462597152469,49.4709396429242,2.01332072165521e-12,8.84123594165767e-10
"ENSDARG00000058685",3.57662386090642,-1.20407903424997,49.1139679884295,2.41514266037137e-12,1.04624632788547e-09
"ENSDARG00000017624",-0.911471186835234,13.1125814480651,48.9079313145503,2.68263764704861e-12,1.1466308673525e-09
"ENSDARG00000102020",0.991954386367457,5.83940733467302,48.6018629363532,3.13571215924983e-12,1.32265164064568e-09
"ENSDARG00000103199",2.16859925086302,6.33316052940615,48.3128605393061,3.63361324879147e-12,1.51276285605855e-09
"ENSDARG00000015922",1.041221255213,4.15983366754992,48.2634375634774,3.72635853862245e-12,1.53148558554641e-09
"ENSDARG00000097137",0.876621643938811,5.47342332121615,47.5201776090006,5.44406914604161e-12,2.20912056474248e-09
"ENSDARG00000033684",3.1546055463404,-1.00214068129957,46.8121376807384,7.81280239866634e-12,3.13068758117558e-09
"ENSDARG00000087303",0.848262928225664,6.79286198759643,46.7077599462955,8.24020632507916e-12,3.26118881682793e-09
"ENSDARG00000092947",-0.876244008255339,11.8901784515773,46.3514983862665,9.88318957115101e-12,3.86372448880961e-09
"ENSDARG00000070713",2.24559584933572,0.0729927586911597,46.102055921936,1.12250598910785e-11,4.33544270997955e-09
"ENSDARG00000113076",2.4666378097927,2.6548166328396,45.5287236526721,1.50416740816382e-11,5.74036840517947e-09
"ENSDARG00000076830",-0.914190653038469,3.87445881326145,45.1274810958956,1.84616431637609e-11,6.96264582236099e-09
"ENSDARG00000055514",-1.19246403801459,7.05343290090114,45.0022643422818,1.96806744116432e-11,7.33608580946564e-09
"ENSDARG00000070041",3.07250006407651,1.23703782476692,44.1205077482833,3.08769018273132e-11,1.13632013518435e-08
