gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count
ENSDARG00000001857	597.00	784.00	583.00	865.00	431.00	687.00
ENSDARG00000001859	93.00	139.00	78.00	127.00	113.00	162.00
ENSDARG00000001870	9366.26	11521.31	8919.54	14132.56	12244.00	12416.32
ENSDARG00000001873	1584.00	1449.00	967.00	1492.00	1537.00	1715.00
ENSDARG00000001879	670.00	839.00	535.00	920.00	692.00	802.00
ENSDARG00000001880	404.00	469.00	373.00	573.00	459.00	493.00
ENSDARG00000001881	35.00	51.00	27.00	60.00	9.00	53.00
ENSDARG00000001882	1078.18	991.24	924.20	1645.00	1523.00	1211.00
ENSDARG00000001888	676.00	761.00	580.00	875.00	634.00	838.00
ENSDARG00000001889	8498.53	11488.39	7899.11	10982.93	9191.23	9939.71
ENSDARG00000001890	2702.17	2996.46	2155.90	3682.07	2791.16	3193.50
ENSDARG00000001891	77.74	137.78	89.03	141.78	85.06	147.76
ENSDARG00000001897	1030.95	1057.55	820.75	1350.24	1216.26	1178.28
ENSDARG00000001898	267.00	322.00	241.00	332.00	349.00	321.00
ENSDARG00000001906	64.00	49.00	32.00	59.00	50.00	54.00
ENSDARG00000001909	172.00	222.00	151.00	232.27	166.00	197.00
ENSDARG00000001910	2777.00	3554.00	2776.00	4151.00	3036.00	3370.00
ENSDARG00000001912	137.00	180.00	135.00	214.00	126.00	164.00
ENSDARG00000001913	670.00	862.00	562.00	711.00	628.00	868.00
ENSDARG00000001929	733.00	779.00	638.00	1053.00	901.00	846.00
ENSDARG00000001930	579.00	641.00	473.00	732.00	631.00	625.00
ENSDARG00000001933	177.00	178.00	184.00	290.00	249.00	235.00
ENSDARG00000001937	358.00	439.00	281.00	436.00	372.00	463.00
ENSDARG00000001939	449.00	435.00	378.00	510.00	468.00	463.00
ENSDARG00000001940	1216.00	1238.00	1006.00	1648.00	1449.00	1390.00
ENSDARG00000001950	24348.00	20727.00	18093.00	30173.00	37075.00	26680.00
ENSDARG00000001953	582.00	609.00	896.00	2082.00	1633.00	636.00
ENSDARG00000001968	215.00	222.00	146.00	310.00	114.00	258.00
ENSDARG00000001969	645.00	733.00	531.00	855.00	608.00	747.00
ENSDARG00000001971	95.00	61.00	102.00	152.00	73.00	137.00
ENSDARG00000001975	577.00	701.00	574.00	988.00	952.00	684.00
ENSDARG00000001976	225.00	373.00	275.00	382.00	278.00	297.00
ENSDARG00000001993	2913.29	2924.00	2384.00	3866.00	2565.00	3904.00
ENSDARG00000001994	5493.00	9209.00	6334.00	9110.00	5394.00	7494.00
ENSDARG00000001999	359.00	461.00	327.00	462.00	332.00	442.00
ENSDARG00000002002	259.93	240.00	182.98	285.98	332.00	296.00
ENSDARG00000002006	931.00	1100.00	889.00	1392.00	1142.00	1129.00
ENSDARG00000002013	233.00	264.00	200.00	367.00	192.00	285.00
ENSDARG00000002016	496.00	568.00	398.00	662.00	557.00	656.00
ENSDARG00000002020	335.00	435.00	318.00	504.00	338.00	455.00
ENSDARG00000002021	1209.00	1370.00	929.00	1510.00	1043.00	1499.00
ENSDARG00000002026	77.00	131.00	84.00	130.00	34.00	137.00
ENSDARG00000002031	299.00	425.00	290.00	447.00	292.00	343.00
ENSDARG00000002037	211.90	223.89	146.00	294.79	163.00	256.92
ENSDARG00000002060	81.00	107.00	80.00	103.00	103.00	95.00
ENSDARG00000002071	1753.00	1773.00	1499.00	2487.00	1357.00	2155.00
ENSDARG00000002077	171.00	192.00	140.00	211.00	217.00	190.00
ENSDARG00000002082	2889.00	3339.00	2577.00	3954.00	3299.00	3380.00
ENSDARG00000002084	1796.00	1798.00	1444.00	2319.00	1904.00	2116.00
ENSDARG00000002097	63.89	64.51	51.30	85.96	105.49	71.02
ENSDARG00000002127	1217.00	1573.00	1108.00	1718.00	1289.00	1523.00
ENSDARG00000002128	442.00	430.00	328.00	500.00	453.00	427.00
ENSDARG00000002131	1168.00	1785.00	1113.86	1828.00	832.00	1513.00
ENSDARG00000002165	234.00	248.00	214.00	275.00	382.00	266.00
ENSDARG00000002167	370.00	473.00	378.00	542.00	267.00	479.00
ENSDARG00000002168	812.00	954.00	713.00	1118.00	936.00	939.00
ENSDARG00000002172	452.00	497.00	351.00	543.00	463.00	487.00
ENSDARG00000002174	239.00	230.00	190.00	283.00	240.00	259.00
ENSDARG00000002184	723.00	857.00	662.00	952.00	794.00	844.00
ENSDARG00000002190	2087.00	2097.00	1647.00	2615.00	2505.00	2297.00
ENSDARG00000002192	584.00	551.00	350.00	665.00	662.00	677.00
ENSDARG00000002193	30244.00	42980.00	33552.00	50959.00	36156.00	35639.00
ENSDARG00000002194	17.00	25.00	29.00	54.00	37.00	47.00
ENSDARG00000002196	757.00	852.00	704.00	1244.00	1195.00	965.00
ENSDARG00000002197	3505.00	3277.00	2166.00	3292.00	2880.00	4292.00
ENSDARG00000002204	703.00	573.00	516.00	811.00	899.00	804.00
