gene_id,f1.expected_count,f2.expected_count,f3.expected_count,f4.expected_count,f5.expected_count,f6.expected_count
ENSDARG00000002549,358,378,286,403,384,399
ENSDARG00000002552,1298,1467,1122,1786,1427,1590
ENSDARG00000002564,1025,1356,905,1436,804,1297
ENSDARG00000002571,305,409,273,478,227,437
ENSDARG00000002576,54,114,67,97,61,95
ENSDARG00000002582,516,559,437,690,636,633
ENSDARG00000002587,3844.99,5910.95,4045.98,5614.94,3451.96,4887.94
ENSDARG00000002589,64069,54904,47591,77513,91423,69869
ENSDARG00000002591,1113,1240,890,1335,1205,1300
ENSDARG00000002593,1188,1202,953,1359,1685,1276
ENSDARG00000002597,0,0,1,2,1,1
ENSDARG00000002600,391,691,448,708,225,577
ENSDARG00000002601,92,119,77,116,86,103
ENSDARG00000002607,164,274,171,265,125,193
ENSDARG00000002609,804,1089,683,955,695,922
ENSDARG00000002613,504,460,303,477,496,489
ENSDARG00000002632,3817,4027,2913,4570,4050,4341
ENSDARG00000002634,132,163,128,183,156,184
ENSDARG00000002635,436,666,520,691,384,495
ENSDARG00000002642,406,491,360,586,382,495
ENSDARG00000002644,1633,1708,1504,2354,2029,2015
ENSDARG00000002656,535,1057,638,939,473,709
ENSDARG00000002659,2585,3030,2107,3294,2570,3100
ENSDARG00000002663,665,701,601,935,921,773
ENSDARG00000002666,68,69,61,62,64,63
ENSDARG00000002670,740,826,588,1088,885,829
ENSDARG00000002682,696,912,640,996,690,943
ENSDARG00000002685,1,0,0,2,0,3
ENSDARG00000002690,290,344,283,415,352,389
ENSDARG00000002696,14059,21551,16579,22289,13932,17415
ENSDARG00000002701,57,58,42,81,69,83
ENSDARG00000002707,0,2,4,3,3,2
ENSDARG00000002710,11343.04,13023,9930,17557,14232,13352
ENSDARG00000002720,456,468,400,608,559,518
ENSDARG00000002722,2,0,3,5,4,3
ENSDARG00000002728,16,15,8,24,11,14
ENSDARG00000002731,1793,2053,1523,2407,1717,2232
ENSDARG00000002732,546,550,413,663,747,648
ENSDARG00000002745,6606,6678,5746,10395,10574,7430
ENSDARG00000002748,298,371,312,463,302,344
ENSDARG00000002750,221,319,219,304,162,323
ENSDARG00000002754,205,191,192,258,283,206
ENSDARG00000002758,1302,1480,1116,2007,1573,1561
ENSDARG00000002760,45,51,42,73,41,65
ENSDARG00000002764,757,705,658,980,649,864
ENSDARG00000002768,411132,345248,287281,511346,664662,444624
ENSDARG00000002771,130.79,210.38,126.73,206.6,97.8,149.59
ENSDARG00000002779,78,83,94,142,101,88
ENSDARG00000002787,938,1231,891,1315,902,1176
ENSDARG00000002790,5481,6450,4959,7188,6248,6419
ENSDARG00000002791,10037.81,12594.61,9119.63,14826.13,11496.74,12140.22
ENSDARG00000002792,1225,1492,1131,1811,1357,1459
ENSDARG00000002795,337,442,348,515,320,398
ENSDARG00000002797,1,1,0,1,0,0
ENSDARG00000002798,240,271,189,331,268,259
ENSDARG00000002816,64,141,74,129,19,126
ENSDARG00000002826,141,160,114,175,178,186
ENSDARG00000002830,244,232,193,313,272,229
ENSDARG00000002831,127.23,148.64,119.85,156.92,114.09,118.72
ENSDARG00000002840,1080,1789,1119,1622,1109,1470
ENSDARG00000002847,152,153,140,187,155,196
ENSDARG00000002872,253,301,204,316,301,309
ENSDARG00000002877,736,826,668,1169,867,819
ENSDARG00000002880,350.78,525.44,338.29,580.49,344.5,462.25
ENSDARG00000002894,495.87,475.35,364.86,556.71,632.52,509.62
ENSDARG00000002897,314,342,317,458,311,333
ENSDARG00000002909,1059,1077,835,1320,1328,1174
ENSDARG00000002912,1180,1457,1020,1610,1319,1446
ENSDARG00000002916,530,686,446,736,434,648
ENSDARG00000002917,349.36,345.29,268.46,519.69,437.55,380.38
ENSDARG00000002933,193,254,232,318,221,249
ENSDARG00000002937,1013,914,782,1262,1169,1155
ENSDARG00000002945,383,389,302,501,348,427
ENSDARG00000002947,330,325,244,414,327,386
ENSDARG00000002949,1684,1796,1353,2180,1955,1897
ENSDARG00000002952,1053,1183,868,1279,1109,1296
ENSDARG00000002956,78,101,70,109,62,95
ENSDARG00000002959,3,2,1,1,5,3
ENSDARG00000002967,918,936.44,838,1242.47,1203.47,1161
ENSDARG00000002968,988,1042,833,1709,858,1279
ENSDARG00000002970,1601,1968,1518,2105,1618,1901
ENSDARG00000002971,351,398,281,450,358,436
ENSDARG00000002986,931,844,931,1640,1556,1037
ENSDARG00000002988,4542,3918,3255,4880,5483,4932
ENSDARG00000002991,216,197,156,218,185,235
ENSDARG00000002994,995,1254,885,1307,1022,1180
ENSDARG00000003008,776,1363,909,1370,921,1142
ENSDARG00000003017,1043,1092,944,1461,1520,1181
ENSDARG00000003020,145,263,155,256,137,198
ENSDARG00000003021,294,351,265,386,292,354
ENSDARG00000003022,256,230,185,292,280,275
ENSDARG00000003027,151,155,118,186,190,178
ENSDARG00000003032,20324,20024,16163,24482,25074,22530
ENSDARG00000003035,3862,4456,3258,5352,4050,4701
ENSDARG00000003041,47,65,38,89,20,81
ENSDARG00000003046,142,251,137,269,94,190
ENSDARG00000003054,33,27,20,46,34,31
ENSDARG00000003058,450,511,423,601,563,565
ENSDARG00000003061,440.08,437.69,258.56,444.73,416.02,495.72
